text,target,category,polarity
"Fiyatlar yakın, sokakta rahat bir ortamda, kaşıkla çeşitli balık servisi alıyorsunuz.",ortamda,AMBIENCE#GENERAL,positive
"Fiyatlar yakın, sokakta rahat bir ortamda, kaşıkla çeşitli balık servisi alıyorsunuz.",balık servisi,FOOD#STYLE_OPTIONS,positive
İyi bir yer belki arada bir denenebilir.,yer,RESTAURANT#GENERAL,positive
Fiyatları ortalamanın üstünde. ,Fiyatları,RESTAURANT#PRICES,negative
Ulaşım zor.,Ulaşım,LOCATION#GENERAL,negative
Etleri oldukça lezzetli. ,Etleri,FOOD#QUALITY,positive
Şarap çeşitleri fazla ve şaraplar kaliteli.,Şarap,DRINKS#STYLE_OPTIONS,positive
Şarap çeşitleri fazla ve şaraplar kaliteli.,şaraplar,DRINKS#QUALITY,positive
Garsonlar elbette kibarlar ama sürekli etrafınızda dolaşıp size bakmaları bazen huzursuzluk verebiliyor.,Garsonlar,SERVICE#GENERAL,positive
Garsonlar elbette kibarlar ama sürekli etrafınızda dolaşıp size bakmaları bazen huzursuzluk verebiliyor.,,SERVICE#GENERAL,negative
Mekan-dekorasyon fena değil ama etlerin kalitesi ve fiyatların yüksekliği ile karşılaştırıldığında biraz sönük kalıyor.,Mekan-dekorasyon,AMBIENCE#GENERAL,negative
Mekan-dekorasyon fena değil ama etlerin kalitesi ve fiyatların yüksekliği ile karşılaştırıldığında biraz sönük kalıyor.,etlerin,FOOD#QUALITY,negative
Mekan-dekorasyon fena değil ama etlerin kalitesi ve fiyatların yüksekliği ile karşılaştırıldığında biraz sönük kalıyor.,fiyatların,RESTAURANT#PRICES,negative
Lokumu tavsiye ederim.,Lokumu,FOOD#QUALITY,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,AMBIENCE#GENERAL,positive
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,SERVICE#GENERAL,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,RESTAURANT#GENERAL,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,FOOD#QUALITY,positive
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,FOOD#STYLE_OPTIONS,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",,RESTAURANT#PRICES,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,,RESTAURANT#GENERAL,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,,FOOD#QUALITY,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,,SERVICE#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,,RESTAURANT#PRICES,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,,RESTAURANT#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,,FOOD#QUALITY,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",,RESTAURANT#GENERAL,neutral
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",,AMBIENCE#GENERAL,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",,FOOD#QUALITY,positive
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",,SERVICE#GENERAL,negative
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,,DRINKS#PRICES,negative
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,,RESTAURANT#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,,RESTAURANT#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,,AMBIENCE#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,,FOOD#QUALITY,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,,SERVICE#GENERAL,positive
"Cok fazla cesit var,insanin kafasi karışıyor dogrusu. Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik. Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim. Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",,DRINKS#QUALITY,positive
"Cok fazla cesit var,insanin kafasi karışıyor dogrusu. Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik. Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim. Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",,FOOD#QUALITY,neutral
"Cok fazla cesit var,insanin kafasi karışıyor dogrusu. Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik. Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim. Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",,AMBIENCE#GENERAL,positive
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem. Lezzet değişiyor... Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,,RESTAURANT#GENERAL,positive
"Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci. Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim. Fasulyesi ağızda dağılıyor adeta, lokum gibi. Duyduğum kadarıyla suda değil sütte bekletiyorlarmış. Yanında turşu, cacık veya yoğurtla harika oluyor. Pilavı da çok lezzetli, mis gibi tereyağ kokuyor. Finali sütlaçla yapmanızı tavsiye ediyorum. Sütlacı da enfes.",,FOOD#QUALITY,positive
"Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci. Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim. Fasulyesi ağızda dağılıyor adeta, lokum gibi. Duyduğum kadarıyla suda değil sütte bekletiyorlarmış. Yanında turşu, cacık veya yoğurtla harika oluyor. Pilavı da çok lezzetli, mis gibi tereyağ kokuyor. Finali sütlaçla yapmanızı tavsiye ediyorum. Sütlacı da enfes.",,FOOD#STYLE_OPTIONS,positive
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı. Atıştırmalık Jumbo Combo pek yummy!",,FOOD#QUALITY,positive
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı. Atıştırmalık Jumbo Combo pek yummy!",,SERVICE#GENERAL,neutral
"Deniz ürünleri çok başarılı. Manzarası zaten mükemmel. Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun. Onun dışında pek öğrenci mekanı değil. Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",,AMBIENCE#GENERAL,positive
"Deniz ürünleri çok başarılı. Manzarası zaten mükemmel. Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun. Onun dışında pek öğrenci mekanı değil. Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",,FOOD#QUALITY,positive
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel. Çalan müzik tam kıvamında, rahatsız etmiyor. Yemekleri çok lezzetli, manzara mükemmel. ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",,FOOD#PRICES,negative
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel. Çalan müzik tam kıvamında, rahatsız etmiyor. Yemekleri çok lezzetli, manzara mükemmel. ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",,AMBIENCE#GENERAL,positive
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel. Çalan müzik tam kıvamında, rahatsız etmiyor. Yemekleri çok lezzetli, manzara mükemmel. ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",,FOOD#QUALITY,positive
"Kalabalik zamanlarda servis fazlasiyla aksiyor. Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti. Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor",,AMBIENCE#GENERAL,negative
"Kalabalik zamanlarda servis fazlasiyla aksiyor. Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti. Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor",,SERVICE#GENERAL,negative
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz. İçinizi serinletecek enfes bir tat.",,AMBIENCE#GENERAL,positive
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz. İçinizi serinletecek enfes bir tat.",,FOOD#QUALITY,positive
Garsonlar suratsiz. Bu kadar methedilmeyi hakketmiyor. Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer! Açiklama: kasarla köfte yoguruluyormus. Isletme sahibi kaba. Bizim kasarli köfte tanimimiz böyle diyor sadece! Müsteri memnuniyeti sifir!,,FOOD#STYLE_OPTIONS,negative
Garsonlar suratsiz. Bu kadar methedilmeyi hakketmiyor. Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer! Açiklama: kasarla köfte yoguruluyormus. Isletme sahibi kaba. Bizim kasarli köfte tanimimiz böyle diyor sadece! Müsteri memnuniyeti sifir!,,RESTAURANT#GENERAL,negative
Garsonlar suratsiz. Bu kadar methedilmeyi hakketmiyor. Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer! Açiklama: kasarla köfte yoguruluyormus. Isletme sahibi kaba. Bizim kasarli köfte tanimimiz böyle diyor sadece! Müsteri memnuniyeti sifir!,,SERVICE#GENERAL,negative
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir. O zaman keşke başlangıçlarda menüde yer almasa! Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul. İlk defa bir şubesine gidip oturup yemek yedim. Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi. Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi. Evet suçluyum! Tek ayak üstünde köşeme çekiliyorum! Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var. Malzemesi bol, porsiyonu tam kıvamındaydı. Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",,LOCATION#GENERAL,positive
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir. O zaman keşke başlangıçlarda menüde yer almasa! Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul. İlk defa bir şubesine gidip oturup yemek yedim. Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi. Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi. Evet suçluyum! Tek ayak üstünde köşeme çekiliyorum! Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var. Malzemesi bol, porsiyonu tam kıvamındaydı. Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",,RESTAURANT#GENERAL,positive
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir. O zaman keşke başlangıçlarda menüde yer almasa! Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul. İlk defa bir şubesine gidip oturup yemek yedim. Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi. Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi. Evet suçluyum! Tek ayak üstünde köşeme çekiliyorum! Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var. Malzemesi bol, porsiyonu tam kıvamındaydı. Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",,FOOD#QUALITY,positive
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir. O zaman keşke başlangıçlarda menüde yer almasa! Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul. İlk defa bir şubesine gidip oturup yemek yedim. Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi. Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi. Evet suçluyum! Tek ayak üstünde köşeme çekiliyorum! Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var. Malzemesi bol, porsiyonu tam kıvamındaydı. Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.",,FOOD#STYLE_OPTIONS,positive
"Beşiktaş'ın göbeğinde. Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri. Ve deneyim maalesef çok da olumlu olmadı. Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi. Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi. Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii. Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",,SERVICE#GENERAL,negative
"Beşiktaş'ın göbeğinde. Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri. Ve deneyim maalesef çok da olumlu olmadı. Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi. Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi. Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii. Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",,FOOD#QUALITY,conflict
"Beşiktaş'ın göbeğinde. Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri. Ve deneyim maalesef çok da olumlu olmadı. Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi. Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi. Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii. Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",,RESTAURANT#GENERAL,negative
"Beşiktaş'ın göbeğinde. Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri. Ve deneyim maalesef çok da olumlu olmadı. Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi. Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi. Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii. Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",,FOOD#STYLE_OPTIONS,negative
"Beşiktaş'ın göbeğinde. Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri. Ve deneyim maalesef çok da olumlu olmadı. Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi. Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi. Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii. Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",,RESTAURANT#PRICES,positive
