text,category,polarity
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,RESTAURANT#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,FOOD#QUALITY,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",RESTAURANT#GENERAL,neutral
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",AMBIENCE#GENERAL,negative
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",FOOD#QUALITY,positive
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım. garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor. lokumun daha iyisini yedim küşleme güzeldi. şazeli salata yani... bilemedim mekana daha sonra belki bir şans daha verebilirim.",SERVICE#GENERAL,negative
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,DRINKS#PRICES,negative
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu: ) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,RESTAURANT#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,RESTAURANT#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,AMBIENCE#GENERAL,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,FOOD#QUALITY,positive
Şatobiryanı öneririm. Sosu tereyagli ve yumusak . Sert et sevmeyenler icin cok lezzetliydi. Guvecte yogurt ve salatayla iyi bir uclu oldu. Servisi hizli valesi var. Acik mekanda ise gardenya bolumu guzel. Kalabalik icin ideal. Yaninda cafe ve nargile bolumu var.,SERVICE#GENERAL,positive
